radius, density
65.46839690078264, 12419.936238093014
185.7660700806034, 12408.702214138479
306.0731219993054, 12379.814723969674
426.36653211599787, 12376.605002839806
546.6735840347001, 12347.717512670999
666.978078115525, 12323.644604196994
787.285982646853, 12293.152253463253
907.5887715024269, 12272.289066119116
1027.8992338716307, 12236.982133690575
1148.2105488534608, 12200.0703406971
1268.5295373489207, 12148.714802619223
1372.4389300994667, 12108.994503637114
1465.3806859188862, 12085.763293310461
1739.6029581306416, 11921.097770154372
1848.2805443590678, 11840.581574151955
1968.6037959176551, 11781.201733249409
2088.938699848793, 11699.888797959435
2209.2775826388493, 11611.086513366437
2329.623002125702, 11509.980297775617
2449.9735372883083, 11399.244918795193
2570.325777676165, 11285.2998186849
2690.687681007112, 11153.166298838694
2811.0430476412635, 11033.336709990312
2931.41063505638, 10890.504119711215
3051.783622351461, 10737.50741252087
3172.1560412381227, 10585.580612373815
3291.4372296457364, 10429.267193349275
3412.917647059751, 10250.164754302676
3538.4232051414233, 10027.444253859347
3565.7703439175752, 5566.914149065367
3688.8486710735947, 5467.6802708003015
3809.173627857434, 5405.090708767888
3929.496026803396, 5347.315728430276
4049.821836199861, 5283.121305832929
4170.148498208951, 5217.322022670647
4290.474307605415, 5153.1276000733
4410.800969614505, 5087.328316911018
4531.128484236222, 5019.924173183803
4651.455146245311, 4954.124890021523
4771.780955641776, 4889.930467424178
4892.106765038239, 4825.736044826828
5006.967071721001, 4757.20849870416
5109.5833059953075, 4655.231560891938
5371.033252412777, 4531.732418524871
5449.99337387822, 4504.7639318400925
5570.320035887311, 4438.964648677811
5700.659520900039, 4358.288454418465
5734.891444603787, 3646.6552315608915
5767.605218705774, 3602.8322943473613
5887.931880714865, 3537.03301118508
5986.37684869767, 3490.950586391986
6302.4726072978465, 3296.7409948542027
6391.608197794603, 3167.727404884821
