# MPa, kg m-3
pressure, density
10.511806674054299, 8235.513392048482
135.40119234033662, 8251.960594950018
1643.4440945767217, 8268.057014159891
12401.85688256793, 8978.782697803626
49650.49375313966, 10066.258417344789
252215.82978285337, 12847.111873040398
1360364.9739630593, 19590.550164688248
7053925.079507302, 32389.422879046244
30004344.047825646, 54414.97021112486
155712058.25132766, 120375.73623387088
624604946.2919695, 266239.32189646864
2096480666.7089987, 608130.1606400134
6004850473.324308, 1344669.640257176
14678434091.226059, 2972904.248130097
37334127738.34405, 6789084.762802245
109200677007.91751, 22494763.19072944
241870685658.84784, 58461631.635344915
345990211219.9711, 95009086.0206687
