pressure, density
# GPa, kg m-3
1.3582885217729705, 1238.988528586809
1.4291957409322176, 1247.3760972837754
1.500096800887549, 1256.03643072558
1.5710077155691458, 1264.260340575643
1.641924789454658, 1272.2114856808673
1.7128504862256524, 1279.7807601433174
1.7837724874742973, 1287.5136934526709
1.8546981842452916, 1295.0829679151207
1.9256349675833342, 1302.1612658368613
1.996571750921377, 1309.239563758602
2.0675208526672506, 1315.7723321906649
2.138469954413125, 1322.3051006227279
2.209419056158999, 1328.8378690547909
2.2803681579048733, 1335.3706374868539
2.3513197233323133, 1341.7943000209816
2.4222799116452354, 1347.836091912335
2.493243795480508, 1353.7142249567853
2.5642113748381288, 1359.4286991543322
2.636502567117237, 1367.8617001505493
2.6768010064969587, 1382.396194578769
2.7088229540229047, 1395.4470197443993
2.7408354163748196, 1408.9179026170812
2.7728451686770113, 1422.508801977492
2.8048589860537883, 1435.9196766063096
2.836878223530011, 1449.090518259669
2.8715310134165133, 1462.7279812016827
2.9047044857065396, 1476.8250967330632
2.942563161761851, 1491.6041651879
2.977804874196094, 1505.1819659746502
3.0130368756188304, 1519.1898258424294
3.0514924811869726, 1533.5546379737123
3.089948086755114, 1547.9194501049951
3.128403692323256, 1562.2842622362782
3.1668615562661664, 1576.549060627787
3.198876841586543, 1589.8949263257512
3.2438140633982284, 1603.4498622201963
3.3017206109094444, 1615.115203375536
3.372723913649777, 1619.2476420530188
3.443748157683422, 1622.4526805980497
3.514771169876285, 1625.7122720920484
3.5857966457507144, 1628.8627576881117
3.656823353465926, 1631.9586903352074
3.727853756703487, 1634.8909641353996
3.7988804644186995, 1637.9868967824953
3.86991456317861, 1640.7555117357845
3.940943734575389, 1643.7423384849444
4.011977833335299, 1646.5109534382336
4.083004541050511, 1649.6068860853293
4.1540324806065065, 1652.648265783457
4.225057956480936, 1655.7987513795204
4.296084664196147, 1658.8946840266158
4.367113835592926, 1661.881510775776
4.438143006989705, 1664.8683375249361
4.5091758739088315, 1667.6915054271929
4.580203813464827, 1670.7328851253208
4.6512379122247385, 1673.50150007861
4.722272010984649, 1676.270115031899
4.7933061097445595, 1679.0387299851882
4.864342672186036, 1681.698239040542
4.935379234627514, 1684.3577480958954
5.0064133333874254, 1687.1263630491846
5.077447432147336, 1689.8949780024739
5.148472908021764, 1693.045463598537
5.219508238622458, 1695.7595256028585
5.290544801063936, 1698.4190346582122
