pressure, alpha
# GPa, K-1
0.3003738730709866, 0.0006325058969530728
0.3952634230763261, 0.0005755590999372328
0.4901652121568627, 0.0005294897810030688
0.5850864397685953, 0.0005006964566692165
0.6800141468907266, 0.0004776617972021349
0.7749432939040573, 0.000455906841038781
0.8698760406453876, 0.0004373511431347418
0.9648109472235171, 0.0004207150001862949
1.059748733584046, 0.0004066382638453006
1.1546886797813747, 0.00039448108245989603
1.249630785815503, 0.000384243456030082
1.344571451958431, 0.00037272612629654124
1.4395135579925598, 0.0003624884998667272
1.5344607036458864, 0.00035672983499995727
1.629400649843215, 0.0003445726536145527
1.7243506752789417, 0.0003413733953552354
1.81929206136747, 0.0003304959172735584
1.9142435266943958, 0.00032857636231796786
2.009183472891724, 0.00031641918093256415
2.1041370980554497, 0.00031641918093256415
2.1990792040895784, 0.00030618155450274926
2.2940285095797046, 0.00030234244459156987
2.388979974906631, 0.0003004228896359793
2.4839213609951587, 0.0002895454115543015
2.560709958735208, 0.00034144448998322044
2.5920831081336644, 0.0005205318578769816
2.622474377438718, 0.0006793978822967756
2.6442270880574643, 0.0008325661801023574
2.674634950394438, 0.001006179261641287
2.709370435729822, 0.0011900566300955262
2.723135628468654, 0.0013681524818382846
2.7418333356422613, 0.001546122648435142
2.757960254211313, 0.001753028328621821
2.7802744881148156, 0.0019790381509855633
2.7931114609913124, 0.0021846031896159577
2.8118057741356637, 0.0023595569127111736
2.8279343268669503, 0.002567914954583828
2.8467936903969937, 0.0027677822666000093
2.865899586155839, 0.002979737696648696
2.8861956045586883, 0.0032021501308364068
2.903917465468682, 0.003395705255525079
2.9213846956189524, 0.003576063439894069
2.9388519257692227, 0.0037564216242630595
2.9563201458446935, 0.003937659604653362
2.9737853961445646, 0.004116258196979727
2.9890838415999834, 0.004287064310260186
3.008469405369559, 0.004467492319710232
3.0261890664457747, 0.004659092342129322
3.0436503570448465, 0.004834171750370439
3.06110570809272, 0.005003972382483684
3.0785541296641945, 0.0051676144424477434
3.0926017339207377, 0.005322709912490484
3.113443053405544, 0.005487860194205365
3.128734569384565, 0.005652507735336638
3.1449331396823634, 0.005801318948084293
3.1657734692419703, 0.005965589433777861
3.1810659751461916, 0.006131116770930446
3.1941846524509714, 0.006282609266790671
3.214705330449637, 0.0064367830457634665
3.2317931703374256, 0.0066024639980943765
3.251532056469159, 0.006728372584255493
3.268242747940378, 0.006891260533344141
3.3245033082378503, 0.0064780077736192355
3.305708465188487, 0.0066579889025505205
3.3409588819732328, 0.006307243555387411
3.358047630722117, 0.006151226394274724
3.375137699371267, 0.005996382294523786
3.392227768020419, 0.005841538194772848
3.40931783666957, 0.00568669409502191
3.426405265518188, 0.005529503872547473
3.443492694366806, 0.005372313650073036
3.4605814431156903, 0.005216296488960349
3.477671511764842, 0.005061452389209411
3.4947602605137256, 0.0049054352280967235
3.5118476893623445, 0.004748245005622287
3.5289351182109625, 0.004591054783147849
3.541713261247015, 0.004439897447676696
3.5631099759081994, 0.004276674338198976
3.5771084610191144, 0.0041141215494993975
3.592974416449784, 0.003967321299086172
3.6143722624540535, 0.003805103670775665
3.627150028375744, 0.0036536111749154395
3.644235571652554, 0.0034947451504956464
3.6625429654616726, 0.003325824314403714
3.682716698247461, 0.003171650535430918
3.7041107731081118, 0.003006081303229699
3.7211861342971515, 0.0028381659483049815
3.7368405285708377, 0.0026860031316666136
3.7610976556664584, 0.0025076978046806855
3.7867565168449797, 0.0022965467595657697
3.8124144980899892, 0.0020846136735430208
3.8380742392020224, 0.0018742446693359397
3.863733100380543, 0.0016630936242210239
3.8858054625602314, 0.0014610338046596675
3.9121936786276192, 0.0012587784748713526
3.9479472250368026, 0.0010688207383587117
3.9866036061035084, 0.0009014835351051414
4.020962919862972, 0.0007510384154607646
4.055324213472836, 0.0006023528878590116
4.093510138087926, 0.0004431098080015126
4.1240381742015355, 0.0002973150387555008
4.1742369982470455, 0.0001592289584581262
4.270608196296869, 0.00014045997667013442
4.365561821460594, 0.00014045997667013442
4.460508247168321, 0.00013406146015150066
4.555461152386447, 0.00013342160849963685
4.650414777550172, 0.00013342160849963685
4.745368402713899, 0.00013342160849963685
4.840322027877624, 0.00013342160849963685
4.93527565304135, 0.00013342160849963685
5.030229278205075, 0.00013342160849963685
5.125182903368801, 0.00013342160849963685
5.220136528532526, 0.00013342160849963685
5.29350978434086, 0.00013342160849963685
